LMC V0008    SiO maser.
N0185 V0134  g (Gunn) magnitudes are given.
N0185 V0135  g (Gunn) magnitudes are given.
N0185 V0136  g (Gunn) magnitudes are given.
N0185 V0137  g (Gunn) magnitudes are given.
N0185 V0138  g (Gunn) magnitudes are given.
N0185 V0139  g (Gunn) magnitudes are given.
N0185 V0140  g (Gunn) magnitudes are given.
N0185 V0141  g (Gunn) magnitudes are given.
N0185 V0142  g (Gunn) magnitudes are given.
N0185 V0143  g (Gunn) magnitudes are given.
N0185 V0144  g (Gunn) magnitudes are given.
N0185 V0145  g (Gunn) magnitudes are given.
N0185 V0146  g (Gunn) magnitudes are given.
N0185 V0147  g (Gunn) magnitudes are given.
N0185 V0148  g (Gunn) magnitudes are given.
N0185 V0149  g (Gunn) magnitudes are given.
N0185 V0150  g (Gunn) magnitudes are given.
N0185 V0151  g (Gunn) magnitudes are given.
N0185 V0152  g (Gunn) magnitudes are given.
N0185 V0153  g (Gunn) magnitudes are given.
N0185 V0154  g (Gunn) magnitudes are given.
N0185 V0155  g (Gunn) magnitudes are given.
N0185 V0156  g (Gunn) magnitudes are given.
N0185 V0157  g (Gunn) magnitudes are given.
N0185 V0158  g (Gunn) magnitudes are given.
N0185 V0159  g (Gunn) magnitudes are given.
N0185 V0160  g (Gunn) magnitudes are given.
N0185 V0161  g (Gunn) magnitudes are given.
N0185 V0162  g (Gunn) magnitudes are given.
N0185 V0163  g (Gunn) magnitudes are given.
N0185 V0164  g (Gunn) magnitudes are given.
N0185 V0165  g (Gunn) magnitudes are given.
N0185 V0166  g (Gunn) magnitudes are given.
N0185 V0167  g (Gunn) magnitudes are given.
N0185 V0168  g (Gunn) magnitudes are given.
N0185 V0169  g (Gunn) magnitudes are given.
N0185 V0170  g (Gunn) magnitudes are given.
N0185 V0171  g (Gunn) magnitudes are given.
N0185 V0172  g (Gunn) magnitudes are given.
N0185 V0173  g (Gunn) magnitudes are given.
N0185 V0174  g (Gunn) magnitudes are given.
N0185 V0175  g (Gunn) magnitudes are given.
N0185 V0176  g (Gunn) magnitudes are given.
N0205 V0001  g (Gunn) magnitudes are given.
N0205 V0002  g (Gunn) magnitudes are given.
N0205 V0003  g (Gunn) magnitudes are given.
N0205 V0004  g (Gunn) magnitudes are given.
N0205 V0005  g (Gunn) magnitudes are given.
N0205 V0006  g (Gunn) magnitudes are given.
N0205 V0007  g (Gunn) magnitudes are given.
N0205 V0008  g (Gunn) magnitudes are given.
N0205 V0009  g (Gunn) magnitudes are given.
N0205 V0010  g (Gunn) magnitudes are given.
N0205 V0011  g (Gunn) magnitudes are given.
N0205 V0012  g (Gunn) magnitudes are given.
N0205 V0013  g (Gunn) magnitudes are given. M - m < 0.2P.
N0205 V0014  g (Gunn) magnitudes are given.
N0205 V0015  g (Gunn) magnitudes are given.
N0205 V0016  g (Gunn) magnitudes are given.
N0205 V0017  g (Gunn) magnitudes are given.
N0205 V0018  g (Gunn) magnitudes are given.
N0205 V0019  g (Gunn) magnitudes are given.
N0205 V0020  g (Gunn) magnitudes are given.
N0205 V0021  g (Gunn) magnitudes are given. MinII 25.7.
N0205 V0022  g (Gunn) magnitudes are given.
N0205 V0023  g (Gunn) magnitudes are given.
N0205 V0024  g (Gunn) magnitudes are given.
N0205 V0025  g (Gunn) magnitudes are given.
N0205 V0026  g (Gunn) magnitudes are given.
N0205 V0027  g (Gunn) magnitudes are given.
N0205 V0028  g (Gunn) magnitudes are given.
N0205 V0029  g (Gunn) magnitudes are given.
N0205 V0030  g (Gunn) magnitudes are given.
N0205 V0031  g (Gunn) magnitudes are given.
N0205 V0032  g (Gunn) magnitudes are given.
N0205 V0033  g (Gunn) magnitudes are given.
N0205 V0034  g (Gunn) magnitudes are given.
N0205 V0035  g (Gunn) magnitudes are given.
N0205 V0036  g (Gunn) magnitudes are given.
N0205 V0037  g (Gunn) magnitudes are given.
N0205 V0038  g (Gunn) magnitudes are given.
N0205 V0039  g (Gunn) magnitudes are given.
N0205 V0040  g (Gunn) magnitudes are given.
N0205 V0041  g (Gunn) magnitudes are given.
N0205 V0042  g (Gunn) magnitudes are given.
N0205 V0043  g (Gunn) magnitudes are given. MinII 25.0.
N0205 V0044  g (Gunn) magnitudes are given.
N0205 V0045  g (Gunn) magnitudes are given.
N0205 V0046  g (Gunn) magnitudes are given.
N0205 V0047  g (Gunn) magnitudes are given.
N0205 V0048  g (Gunn) magnitudes are given.
N0205 V0049  g (Gunn) magnitudes are given.
N0205 V0050  g (Gunn) magnitudes are given.
N0205 V0051  g (Gunn) magnitudes are given.
N0205 V0052  g (Gunn) magnitudes are given.
N0205 V0053  g (Gunn) magnitudes are given.
N0205 V0054  g (Gunn) magnitudes are given.
N0205 V0055  The position is given according to [V0391].
N0300 V0015  <B-V>=0.01. Epoch of Max is given.
SclG V0025   [Fe/H]=-1.93, {Delta}S=10.0.
SclG V0026   [Fe/H]=-1.8, {Delta}S=9.0 - 9.5.
SclG V0119   [Fe/H]=-2.2, {Delta}S=10.7 - 13.1.
SclG V0474   No co-ordinates and no finding chart in [V0029].
I1613 V0012  The light curve shape var.
I1613 V0046  VB A (B p).
I1613 V0057  MinII 20.4.
E356-4 V0001 P=209.7d is possible.
E356-4 V0007 P=239d is possible.
E356-4 V0009 P=179.6d is possible.
E356-4 V0047 Red.
E356-4 V0074 Probably [V0059] the brightness estimate 18.5V [V0422] refers to
E356-4 V0074 a brighter star in =~ 6" to the N of the star marked in the
E356-4 V0074 chart.
N1466 V0002  {Delta} m var [V0545].
RetS V0011   P1 - see Table. P0 =0.4706d?
P19441 V0009 MinII 19.1.
N2366 V0001  A faint star, (21.5m. It was brighter than usual by 1m on
N2366 V0001  one plate in 1951.
N2403 V0012  SN 1954J; bright outburst in 1954.
N2403 V0027  Erroneously marked as V22 in the chart in [V0453], Fig. 13.
N2403 V0034  VB B (A =~ 22.8m, 2").
N2403 V0051  The chart [V0453, Fig. 13] is wrong; correct charts: [V0453,
N2403 V0051  Figs 5, 6].
N2403 V0055  MinII 22.4.
N2403 V0056  Stellar image on V plates, diffuse image on B plates.
N2403 V0069  Red.
HolII V0006  Very red.
HolII V0007  Very red.
HolII V0010  Very red.
LeoA V0003   Erroneously marked in the chart, the correct position is in
LeoA V0003   10"W and 3"S from that shown.
N3109 V0013  VB (1").
N3109 V0034  Unclearly marked in the chart, co-ordinates need confirmation.
N3109 V0046  According to [V0458], const. Erroneously marked in the chart in
N3109 V0046  [V0459]? V5 [V0459]=V79 [V0458]?
LeoI V0010   Alternative P=1.7601456d:.
N5128 V0001  21.04 - (21.3 m(Ha).
N5128 V0002  19.25 - (21.3 m(Ha).
N5128 V0003  20.92 - (21.3 m(Ha).
N5128 V0004  20.47 - (21.3 m(Ha).
N5128 V0005  17.88 - (21.3 m(Ha).
N5128 V0006  19.69 - (21.3 m(Ha).
N5128 V0007  20.43 - (21.3 m(Ha).
N5128 V0008  20.40 - (21.3 m(Ha).
N5128 V0009  20.24 - (21.3 m(Ha).
N5128 V0010  19.49 - (21.3 m(Ha).
N5128 V0011  19.38 - (21.3 m(Ha).
N5128 V0012  18.55 - (21.3 m(Ha).
N5128 V0013  20.12 - (21.3 m(Ha).
N5128 V0014  19.77 - (21.3 m(Ha).
N5128 V0015  18.82 - (21.3 m(Ha).
N5128 V0016  19.86 - (21.3 m(Ha).
U09749 V0003 Alternative P=0.278d.
U09749 V0014 Red.
U09749 V0030 Alternative P ~0.25d.
U09749 V0039 {Delta} m var? [V0418].
U09749 V0056 The light curve shape var? [V0419].
U09749 V0057 According to [V0417], more probably Max=2445912.746+0.404924xE.
U09749 V0065 According to [V0417], P is wrong.
U09749 V0074 Very red. Epoch of Min is given.
U09749 V0080 The Table gives elements of the eclipsing variability.
U09749 V0080 DII >= 0.06, MinII - MinI=0.47P. One of the components is RRC,
U09749 V0080 Max=2436340.846+0.499436xE, M-m=0.50P, 20.0 - 20.4B (without
U09749 V0080 the contribution of the satellite to the combined brightness).
U09749 V0080 [V0417] attributes the star to the BLBOO type, 19.3 - 19.6B,
U09749 V0080 Max=2445904.785+0.498746xE, M-m =0.40P; however, minima predicted
U09749 V0080 by the ephemeris from [V0419] are not covered with observations
U09749 V0080 in [V0417].
U09749 V0094 Blue.
U09749 V0095 Alternative P=0.234d; P=0.305d. According to [V0419], Max=
U09749 V0095 2435277.774+0.233615xE, M-m=0.50P.
U10822 V0011 P1 - see Table, A1 =0.6m; P0 =0.550971d, A0 =0.3m.
U10822 V0016 {Delta} m var.
U10822 V0023 P=0.61789d [V0392] is possible.
U10822 V0034 Blazhko effect?
U10822 V0037 {Delta} m var.
U10822 V0039 {Delta} m var.
U10822 V0041 {Delta} m var.
U10822 V0072 P1 - see Table, A1 =0.5d; P0 =0.545986d, A0 =0.3.
U10822 V0075 Possibly RR(B), P1 =0.3757d, P0 - see Table.
U10822 V0083 P1 - see Table, A1 =0.6m; P0 =0.537229d, A0 =0.4.
U10822 V0096 P var. Max=2434598.662+0.58275xE (JD 2434596 - 34635); during
U10822 V0096 JD 2434896 - 35012 - see Table.
U10822 V0112 P1 - see Table, A1 =0.5; P0 =0.57442d [V0541], A0 =0.3. According
U10822 V0112 to [V0398], Max=2442605.711:+0.77077xE.
U10822 V0123 {Delta} m var, phase jumps. The elements in the Table are valid
U10822 V0123 for JD 2434981 - 35011.
U10822 V0128 Large light curve scatter.
U10822 V0129 {Delta} m var.
U10822 V0138 P1 - see Table, A1 =0.6m; P0 =0.546841d, A0 =0.2m.
U10822 V0143 P1 - see Table, A1 =0.5m; P0 =0.540103d, A0 =0.2m. P=0.397580d
U10822 V0143 is possible.
U10822 V0144 P var. During JD 2434597 - 34635 - see Table; Max=2434900.925+
U10822 V0144 0.58834xE (JD 2434897 - 35012).
U10822 V0145 Increased light curve scatter, possible P=0.397376d.
U10822 V0147 {Delta} m var.
U10822 V0149 P=0.402670d is possible.
U10822 V0156 P1 - see Table, A1=0.6m; P0=0.548637d, A0=0.3m.
U10822 V0165 P1 - see Table, A1=0.5m; P0=0.480671d, A0=0.3m.
U10822 V0169 P1 - see Table, A1=0.6m; P0=0.540509d, A0=0.3m.
U10822 V0170 Possible periods: 0.694275d; 0.678492d; 0.409364d; 0.403752d;
U10822 V0170 0.290215d.
U10822 V0190 P1 - see Table, A1=0.7m; P0=0.531533d, A0=0.3m.
U10822 V0196 {Delta} m var.
U10822 V0203 Blue.
N6822 V0006  P var.
N6822 V0007  Phase shifts, +-0.15P.
N6822 V0008  According to [V0464], DCEP, Max=2423972.0+20.72xE.
N6822 V0009  According to [V0464], DCEP, Max=2423971.0+16.86xE.
N6822 V0010  Variations on 5d timescale are superimposed. According to [V0464],
N6822 V0010  CEP, P=16.5d +-.
N6822 V0011  According to [V0464], DCEP, Max=2424003.0+11.77xE.
N6822 V0013  P var.
N6822 V0016  Usually below the plate limit. Maxima, on average, occur every 8d.
N6822 V0019  MinII 19.8.
N6822 V0020  Usually below the plate limit. Maxima once in ~10d.
N6822 V0025  P=13.33d is possible.
N6822 V0035  Red.
N6822 V0037  Red.
N6822 V0040  Red.
U12613 V0030 Very blue.
