LMC V0008    SiO maser.
LMC V1582    since JD 2435000 - see Table. B-V: +0.60, +1.30. [A/H]=0.00.
LMC V1585    In the region of the cluster NGC 1871.
LMC V1599    In the region of the cluster NGC 1866.
LMC V1612    SB (O+M2Ia).
LMC V1639    IR excess.
LMC V1648    According to [V0170], CEP(B):, P0 - see Table (semiamplitude 0.60B)
LMC V1648    P1/P0=0.72 (semiamplitude corresponding to P1 is 0.20B).
LMC V1649    MinII 15.9. dII=0.08P.
LMC V1660    MinII 15.6.
LMC V1665    According to [V0445], P=743d.
LMC V1668    VB B (A 5"n).
LMC V1691    [A/H]=0.06.
LMC V1699    The identification with HV 6102 is erroneous.
LMC V1711    P var. Before JD 2432000 Max=2436567.392+2.788345xE [V0036];
LMC V1711    since JD 2432000 - see Table.
LMC V1749    P var? [V0059]. B-V: +0.39, +0.53:.
LMC V1754    The star RA=05 15.5 DE=-65 55 (1875.0).
LMC V1770    VB (10", 120{deg}, {Delta} m=0).
LMC V1785    P var. Max=2423736.780+30.2993xE (JD 2423465 - 24408); more
LMC V1785    irregular during JD 2424408 - 29855; Max=2430372.330+30.2993xE
LMC V1785    (JD 2429855 - 31870); during JD 2432011 - 941 - see Table.
LMC V1836    MinII 16.1.
LMC V1839    Small erratic variations of P.
LMC V1845    MinII 14.6.
LMC V1862    According to [V0445], P=169d:.
LMC V1873    P=(0.641d)xN [V0004].
LMC V1874    Epoch of Max is given.
LMC V1877    P var. P=41.235d (JD 2426400 - 29600); during JD 2429600-
LMC V1877    33600 - see Table.
LMC V1879    The cycle is 200d-300d.
LMC V1925    MinII 16.1.
LMC V1936    MinII 16.4.
LMC V1948    In the cluster Anon.2.
LMC V1955    Sp G5I [V0028], A5Ia [V0057].
LMC V1959    P var? During 1910 - 1950 Max=2427799.532+10.92454xE [V0008];
LMC V1959    since JD 2436000 - see Table.
LMC V1970    VB A (B 12m.1, 13"). In the region of the clusters NGC 1910,
LMC V1970    SL 360; in the nebula LHa 120-N119. Deep Min: 1891, 1900, 1930,
LMC V1970    1940, 1955, 1964.
LMC V2007    IR excess.
LMC V2012    MinII 16.1.
LMC V2015    B-V: +0.75, +1.05.
LMC V2028    MinII 16.9.
LMC V2050    Sp WC6+O5-6V-III:. VB B (A 11.3m; B 9" sp). Associated with
LMC V2050    the nebula LHa 120-N120.
LMC V2064    P var. P=118.445d (JD 2412000 - 27000) [V0059]; Max=2428157.556+
LMC V2064    118.639xE (JD 2428000 - 33000) [V0008]; since JD 2434600 -
LMC V2064    see Table. B-V: +1.11, +1.34.
LMC V2077    P var. P=17.616d (JD 2413000 - 27000); P=17.568d (JD 2427000-
LMC V2077    31400); during JD 2431400 - 34750 - see Table.
LMC V2093    Alternating bright and faint Maxima.
LMC V2097    MinII 15.5.
LMC V2120    [A/H]=-0.16.
LMC V2122    MinII 14.9.
LMC V2128    According to [V0170], CEP(B):, P0=7.98951d (semiamplitude 0.41B),
